feature,importance
CREDIT_TERM,1235
EXT_SOURCE_MEAN,760
GOODS_CREDIT_RATIO,753
DAYS_BIRTH,718
EXT_SOURCE_3,658
DAYS_ID_PUBLISH,654
AMT_ANNUITY,577
EXT_SOURCE_2,573
DAYS_REGISTRATION,568
ANNUITY_INCOME_RATIO,520
DAYS_LAST_PHONE_CHANGE,517
EXT_SOURCE_MIN,499
EMPLOYMENT_STABILITY,494
EXT_SOURCE_PROD,488
CREDIT_INCOME_RATIO,462
DAYS_EMPLOYED,457
REGION_POPULATION_RELATIVE,450
AMT_GOODS_PRICE,417
AMT_CREDIT,400
INCOME_PER_PERSON,382
EXT_SOURCE_DISAGREEMENT,371
EXT_SOURCE_STD,347
EXT_SOURCE_1,337
AMT_INCOME_TOTAL,320
HOUR_APPR_PROCESS_START,303
NAME_EDUCATION_TYPE,271
AMT_REQ_CREDIT_BUREAU_YEAR,264
ORGANIZATION_TYPE,258
FLAG_OWN_CAR,249
NAME_FAMILY_STATUS,249
CODE_GENDER,237
OCCUPATION_TYPE,224
EXT_SOURCE_1_MISSING,219
TOTALAREA_MODE,210
WEEKDAY_APPR_PROCESS_START,209
AMT_REQ_CREDIT_BUREAU_QRT,186
DEF_30_CNT_SOCIAL_CIRCLE,185
REGION_RATING_CLIENT_W_CITY,181
AGE_YEARS,177
FLAG_WORK_PHONE,171
YEARS_BEGINEXPLUATATION_MODE,159
LANDAREA_MODE,158
OBS_30_CNT_SOCIAL_CIRCLE,158
BASEMENTAREA_MODE,153
FLAG_DOCUMENT_3,152
NAME_INCOME_TYPE,144
LANDAREA_MEDI,143
LIVINGAREA_MODE,143
YEARS_BEGINEXPLUATATION_MEDI,142
APARTMENTS_MODE,142
BASEMENTAREA_AVG,141
LANDAREA_AVG,140
NONLIVINGAREA_MODE,138
NONLIVINGAREA_AVG,138
APARTMENTS_AVG,136
YEARS_BEGINEXPLUATATION_AVG,134
NONLIVINGAREA_MEDI,119
LIVINGAREA_AVG,119
NAME_TYPE_SUITE,119
LIVINGAREA_MEDI,114
BASEMENTAREA_MEDI,113
OBS_60_CNT_SOCIAL_CIRCLE,96
REGION_RATING_CLIENT,94
WALLSMATERIAL_MODE,93
REG_CITY_NOT_LIVE_CITY,92
REG_CITY_NOT_WORK_CITY,91
FLAG_OWN_REALTY,91
APARTMENTS_MEDI,89
FLAG_PHONE,88
NAME_HOUSING_TYPE,81
AMT_REQ_CREDIT_BUREAU_MON,81
DEF_60_CNT_SOCIAL_CIRCLE,72
ENTRANCES_MODE,63
ENTRANCES_AVG,57
NAME_CONTRACT_TYPE,56
CNT_FAM_MEMBERS,55
FLAG_EMP_PHONE,54
FLOORSMAX_MODE,53
ENTRANCES_MEDI,49
BASEMENTAREA_AVG_MISSING,47
FLOORSMAX_AVG,47
NONLIVINGAREA_AVG_MISSING,41
CNT_CHILDREN,39
FLOORSMAX_MEDI,38
ELEVATORS_MODE,34
TOTALAREA_MODE_MISSING,33
LIVE_CITY_NOT_WORK_CITY,33
EMERGENCYSTATE_MODE,31
FLAG_DOCUMENT_6,30
ELEVATORS_AVG_MISSING,29
FLAG_DOCUMENT_18,28
ELEVATORS_AVG,27
CHILDREN_RATIO,25
DAYS_EMPLOYED_ANOMALY,25
FLAG_DOCUMENT_16,24
FLAG_DOCUMENT_8,24
AMT_REQ_CREDIT_BUREAU_WEEK,23
ELEVATORS_MEDI,23
FLAG_EMAIL,22
REG_REGION_NOT_WORK_REGION,21
LANDAREA_AVG_MISSING,17
FLAG_DOCUMENT_13,16
WALLSMATERIAL_MODE_MISSING,15
YEARS_BEGINEXPLUATATION_AVG_MISSING,15
FLAG_DOCUMENT_5,15
ENTRANCES_AVG_MISSING,14
LANDAREA_MODE_MISSING,12
LIVE_REGION_NOT_WORK_REGION,11
FLOORSMAX_AVG_MISSING,11
HOUSETYPE_MODE_MISSING,10
EMERGENCYSTATE_MODE_MISSING,10
APARTMENTS_AVG_MISSING,10
LIVINGAREA_AVG_MISSING,10
HOUSETYPE_MODE,10
REG_REGION_NOT_LIVE_REGION,9
AMT_REQ_CREDIT_BUREAU_DAY,8
FLAG_DOCUMENT_14,8
FLAG_DOCUMENT_11,5
LANDAREA_MEDI_MISSING,5
YEARS_BEGINEXPLUATATION_MODE_MISSING,4
ENTRANCES_MODE_MISSING,4
FLOORSMAX_MODE_MISSING,4
FLAG_DOCUMENT_15,4
BASEMENTAREA_MEDI_MISSING,4
AMT_REQ_CREDIT_BUREAU_HOUR,3
NONLIVINGAREA_MEDI_MISSING,3
YEARS_BEGINEXPLUATATION_MEDI_MISSING,2
FLAG_CONT_MOBILE,1
FLOORSMAX_MEDI_MISSING,1
ELEVATORS_MODE_MISSING,1
APARTMENTS_MEDI_MISSING,1
APARTMENTS_MODE_MISSING,1
LIVINGAREA_MODE_MISSING,1
BASEMENTAREA_MODE_MISSING,1
FLAG_DOCUMENT_20,0
FLAG_DOCUMENT_19,0
NONLIVINGAREA_MODE_MISSING,0
FLAG_DOCUMENT_17,0
FLAG_DOCUMENT_21,0
ENTRANCES_MEDI_MISSING,0
FLAG_DOCUMENT_12,0
ELEVATORS_MEDI_MISSING,0
FLAG_DOCUMENT_4,0
FLAG_DOCUMENT_10,0
FLAG_MOBIL,0
FLAG_DOCUMENT_2,0
FLAG_DOCUMENT_9,0
FLAG_DOCUMENT_7,0
LIVINGAREA_MEDI_MISSING,0
